ts_utc,bid,ask,last,volume
2025-12-01T13:43:21.228586+00:00,424.07,424.19,424.19,28242
2025-12-01T13:43:26.237553+00:00,424.2,424.29,424.27,28242
2025-12-01T13:43:31.246930+00:00,424.2,424.26,424.27,28242
2025-12-01T13:43:36.256395+00:00,424.18,424.26,424.19,28242
2025-12-01T13:43:41.264666+00:00,424.18,424.29,424.19,28242
2025-12-01T13:48:47.600249+00:00,nan,nan,nan,0
2025-12-01T13:48:52.608333+00:00,424.1,424.16,424.1,28894
2025-12-01T13:48:57.615448+00:00,424.1,424.16,424.1,28894
2025-12-01T13:49:02.621765+00:00,424.1,424.25,424.2,28894
2025-12-01T13:49:07.629381+00:00,424.13,424.25,424.2,28894
2025-12-01T13:49:12.637689+00:00,424.15,424.25,424.2,28894
2025-12-01T13:49:17.643701+00:00,424.14,424.24,424.21,28894
2025-12-01T13:49:22.650800+00:00,424.14,424.24,424.14,28936
2025-12-01T13:49:27.659368+00:00,424.14,424.24,424.19,28936
2025-12-01T13:49:32.667077+00:00,424.1,424.2,424.12,28936
2025-12-01T13:49:37.675004+00:00,424.1,424.2,424.12,28936
2025-12-01T13:49:42.683446+00:00,424.1,424.2,424.12,28936
2025-12-01T13:49:47.690934+00:00,424.1,424.2,424.12,28936
2025-12-01T14:14:15.675049+00:00,nan,nan,nan,0
2025-12-01T14:14:20.685898+00:00,425.33,425.36,425.33,32378
2025-12-01T14:14:25.693346+00:00,425.3,425.36,425.36,32378
2025-12-01T14:14:30.700856+00:00,425.33,425.36,425.31,32378
2025-12-01T14:14:35.707646+00:00,425.15,425.24,425.24,32378
2025-12-01T14:14:40.714888+00:00,425.19,425.3,425.29,32378
2025-12-01T14:14:45.722370+00:00,425.2,425.3,425.27,32378
2025-12-01T14:14:50.730859+00:00,425.2,425.3,425.25,32564
2025-12-01T14:14:55.739638+00:00,425.2,425.27,425.25,32564
2025-12-01T14:15:00.746973+00:00,425.1,425.2,425.11,32564
2025-12-01T14:15:05.755059+00:00,425.1,425.16,425.17,32564
2025-12-01T14:15:10.761498+00:00,425.1,425.25,425.24,32564
2025-12-01T14:15:15.768791+00:00,425.04,425.2,425.18,32564
2025-12-01T14:15:20.777293+00:00,425.0,425.17,425.07,32869
2025-12-01T14:15:25.786053+00:00,425.0,425.09,425.08,32869
2025-12-01T14:15:30.793964+00:00,425.0,425.07,425.01,32869
2025-12-01T14:15:35.800990+00:00,425.0,425.07,425.03,32869
2025-12-01T14:15:40.808349+00:00,424.88,425.04,424.89,32869
2025-12-01T14:15:45.815851+00:00,424.81,425.0,424.88,32869
2025-12-01T14:15:50.824609+00:00,424.88,424.92,424.88,33005
2025-12-01T14:15:55.830726+00:00,424.75,424.89,424.8,33005
2025-12-01T14:16:00.839796+00:00,424.75,424.85,424.85,33005
2025-12-01T14:16:05.847506+00:00,424.75,424.85,424.78,33005
2025-12-01T14:16:10.855328+00:00,424.75,424.86,424.75,33005
2025-12-01T14:16:15.862703+00:00,424.7,424.86,424.75,33005
2025-12-01T14:16:20.870060+00:00,424.74,424.8,424.74,33091
2025-12-01T14:16:25.878376+00:00,424.8,424.89,424.86,33091
2025-12-01T14:16:30.884953+00:00,424.83,425.0,425.0,33091
2025-12-01T14:16:35.893517+00:00,424.83,425.0,425.0,33091
2025-12-01T14:16:40.900990+00:00,424.83,425.0,424.85,33091
2025-12-01T14:16:45.908573+00:00,424.84,425.0,424.92,33091
2025-12-01T14:16:50.917324+00:00,424.87,424.92,424.92,33135
2025-12-01T14:16:55.926408+00:00,424.87,425.0,424.87,33135
2025-12-01T14:17:00.935341+00:00,424.8,424.9,424.83,33135
2025-12-01T14:17:05.943225+00:00,424.75,424.9,424.8,33135
2025-12-01T14:17:10.950642+00:00,424.7,424.83,424.75,33135
2025-12-01T14:17:15.959388+00:00,424.7,424.83,424.82,33135
2025-12-01T14:17:20.967895+00:00,424.83,424.9,424.75,33176
2025-12-01T14:17:25.976779+00:00,424.71,424.9,424.89,33176
2025-12-01T14:17:30.984026+00:00,424.71,424.89,424.88,33176
2025-12-01T14:17:35.993762+00:00,424.7,424.89,424.75,33176
2025-12-01T14:17:41.001443+00:00,424.74,424.89,424.74,33176
2025-12-01T14:17:46.009288+00:00,424.77,424.89,424.74,33176
2025-12-01T14:17:51.017552+00:00,424.77,424.84,424.74,33189
2025-12-01T14:17:56.026022+00:00,424.74,424.88,424.77,33189
2025-12-01T14:18:01.035627+00:00,424.7,424.82,424.74,33189
2025-12-01T14:18:06.042939+00:00,424.7,424.88,424.72,33189
2025-12-01T14:18:11.051380+00:00,424.7,424.8,424.86,33189
2025-12-01T14:18:16.061663+00:00,424.7,424.8,424.71,33189
2025-12-01T14:18:21.069614+00:00,424.6,424.7,424.62,33286
2025-12-01T14:18:26.077280+00:00,424.6,424.7,424.62,33286
2025-12-01T14:18:31.085444+00:00,424.6,424.7,424.6,33286
